app,platform,arch,filename,executable_name,size_bytes,sha256,sha1,source_url,captured_at
Google Chrome,Windows,x64,ChromeStandaloneEnterprise64.msi,chrome.exe,154144768,70cdfe7b44846b7aa3f73a366a1221083944f3af367d246bad5daf07739408dd,8318d0c2756fa9345c4a0c29d36bbf47779c8696,https://dl.google.com/dl/chrome/install/googlechromestandaloneenterprise64.msi,2026-06-06T19:25:00Z
Microsoft Teams,macOS,universal,MicrosoftTeams.pkg,Microsoft Teams,357099924,f0eb1ef43ead863940d560b65e45f21460013307efead39744b24fceb8baf97b,a6c98a918c2e0f6818076563b7adbe8e8677ff52,https://go.microsoft.com/fwlink/?linkid=869428,2026-08-26T06:54:35Z
Microsoft Teams,Windows,x64,MSTeams-x64.msix,ms-teams.exe,,be9398b1ad88b114f5a7a7da9084acf90f7f2d39d7ebe0034a0c260755c8c446,,https://teamsinstaller.public.onecdn.static.microsoft/production-windows-x64/26163.405.4842.717/MSTeams-x64.msix,2026-08-26T06:54:35Z
Microsoft Teams,Windows,x64,MSTeams-x64.msix,ms-teams.exe,,9a6c64989e449ec2478873d0c6045ce61f4d516a0e4e19dfd45126faa6a232ea,,https://teamsinstaller.public.onecdn.static.microsoft/production-windows-x64/26198.304.4946.9672/MSTeams-x64.msix,2026-08-26T06:54:35Z
Microsoft Teams,Windows,x64,MSTeams-x64.msix,ms-teams.exe,,7aafdf57affc87fddd0fe9ec7bd2fd3c1f5735fbd29033002839d00f12dd3f8b,,https://teamsinstaller.public.onecdn.static.microsoft/production-windows-x64/26183.1903.4892.4448/MSTeams-x64.msix,2026-08-26T06:54:35Z
Mozilla Firefox,macOS,universal,Firefox.dmg,firefox,159494566,01d95a6652018bb3d1e0bfad13ed6775864a1f3390d224e713f7d6f8b98fd679,fe6b907cce45a2e0f95664bf25b9d13857787911,https://download.mozilla.org/?product=firefox-latest-ssl&os=osx&lang=en-US,2026-08-26T07:38:32Z
Mozilla Firefox,Windows,x64,Firefox Setup 154.0.exe,firefox.exe,,6b3c996d27b50dca8e5b6dd2956233cc6bf4720cea3f0847a9423c2cd6759e73,,https://download-installer.cdn.mozilla.net/pub/firefox/releases/154.0/win64/en-US/Firefox%20Setup%20154.0.exe,2026-08-30T06:20:03Z
Mozilla Firefox,Windows,x64,Firefox Setup 154.0.1.exe,firefox.exe,,ec27c770aa951b8f11541ce5c4fa2d15ec8d7fe613662505ce9ab00b196a100e,,https://download-installer.cdn.mozilla.net/pub/firefox/releases/154.0.1/win64/en-US/Firefox%20Setup%20154.0.1.exe,2026-08-29T06:26:03Z
Mozilla Firefox,Windows,x64,Firefox Setup 153.0.3.exe,firefox.exe,,8de41917930c35937a46eac6d0e16c633ed7456c771b32b89dc6fd65d55e512e,,https://download-installer.cdn.mozilla.net/pub/firefox/releases/153.0.3/win64/en-US/Firefox%20Setup%20153.0.3.exe,2026-08-26T07:38:32Z
Notion,macOS,universal,Notion-universal.dmg,Notion,216873644,7ff66e3d5d61b83383a32e1ed7ac362534e1069ab7854a74058d8b10a6a7e84b,9da0a183a5f5d3671dbd34d50594b32afdf58c84,https://www.notion.com/desktop/mac-universal/download,2026-08-27T06:27:57Z
Notion,macOS,universal,Notion-universal.dmg,Notion,216871253,cda6252278549911a8a84a6bc671aeb923c944ad861899e50e6de98e261e3ea4,9df51422503aed21248e60c1f1971039268fd6a7,https://www.notion.com/desktop/mac-universal/download,2026-08-26T06:54:35Z
Notion,macOS,universal,Notion-universal.dmg,Notion,23751296,616e88cb385950bf5df1c81d44384f9714fafd9da24222a91a2511354b88952d,4a8856a3af6782d0278712bc14317b7316447c4c,https://www.notion.com/desktop/mac-universal/download,2026-06-06T17:30:00Z
Notion,Windows,x64,Notion Setup 7.31.0.exe,Notion.exe,,3de68f967b128c03f71bd14249f0aec9a8b1b7d5023ba03f75da095f9c19561b,,https://desktop-release.notion-static.com/Notion%20Setup%207.31.0.exe,2026-08-29T06:26:03Z
Notion,Windows,x64,Notion Setup 7.31.3.exe,Notion.exe,,589ddabe7fdf162ee1ef3f59005929e31b96159b553fd5557af3c2dd208f2b09,,https://desktop-release.notion-static.com/Notion%20Setup%207.31.3.exe,2026-08-28T06:20:05Z
Notion,Windows,x64,Notion Setup 7.31.2.exe,Notion.exe,,c56dde4341773080d5d57c1f83e879c85d95573ab0861a2f6d3de15f5c229af2,,https://desktop-release.notion-static.com/Notion%20Setup%207.31.2.exe,2026-08-26T06:54:35Z
Slack,macOS,arm64,Slack-arm64.dmg,Slack,116676960,b22953c06eee150f0324ae71702b2b5a8450efdefbf84439217ef7bfd6a8ab24,c3bbfe8f7762bbf4cc4ba8738c462267a5699a39,https://slack.com/ssb/download-osx-silicon,2026-08-26T06:54:35Z
Slack,macOS,arm64,Slack-arm64.dmg,Slack,20708723,0c7e302a1822ee4d22bc4966d93ac794820557782308b825f92e08fba3db9d74,0ca45890a32c256ac9406f66a13ce7b202fb62d9,https://slack.com/ssb/download-osx-silicon,2026-06-06T17:30:00Z
Slack,Windows,x64,SlackSetup.exe,slack.exe,,a885b0631778db061573aa4e5534b20e920d85ea181aa0fdec67519a512e63b1,,https://downloads.slack-edge.com/desktop-releases/windows/x64/4.51.191/SlackSetup.exe,2026-08-26T06:54:35Z
Slack,Windows,x64,SlackSetup.exe,slack.exe,,4f4504ef4d648323b9e128ea0f62f041de5cf218b616b24659c3f5ae7ef6347f,,https://downloads.slack-edge.com/desktop-releases/windows/x64/4.51.185/SlackSetup.exe,2026-08-26T06:54:35Z
Slack,Windows,x64,SlackSetup.exe,slack.exe,,159b75d6111eb88d8d3f786a5ef98945b7c43e0eee6fc8762348d1f9808103a6,,https://downloads.slack-edge.com/desktop-releases/windows/x64/4.51.180/SlackSetup.exe,2026-08-26T06:54:35Z
Spotify,macOS,universal,Spotify.dmg,Spotify,182184159,1d304fafbc0bd4b14bb197e50509e56e2d723e2b8acbefabbba7ec4180409008,d9ce9f9877ed6e800de9db114a5a64a757e24969,https://download.scdn.co/Spotify.dmg,2026-08-27T06:27:57Z
Spotify,macOS,universal,Spotify.dmg,Spotify,181813912,083b1e3a5dcbb4c533f242a0da32ec5a51896399ed9c747fa865d17eb1f341e8,d8b59d00bfff3f9c26d324fddde88e14f8540250,https://download.scdn.co/Spotify.dmg,2026-08-26T07:38:32Z
Spotify,Windows,x64,SpotifyFullSetupX64.exe,Spotify.exe,,11712acbd5bff68c3d69c7906ae54eda89e13429791da535db841280fa44715a,,https://download.scdn.co/SpotifyFullSetupX64.exe,2026-08-26T07:38:32Z
Visual Studio Code,macOS,arm64,VSCode-darwin-arm64.zip,Code,317264221,c9a39179c54b5b9add0307613e4c66f443672456c62d43fd68953f8aa10e7432,b59be48f910a2495adf970cf9ffd9cbdcb4109bf,https://update.code.visualstudio.com/latest/darwin-arm64/stable,2026-08-28T06:20:05Z
Visual Studio Code,macOS,arm64,VSCode-darwin-arm64.zip,Code,317024311,6df181646588f0132339d19f5bdfb20bd0d6db05e5801061f12e0dc93c85fa70,c1ede19aee9c42278f304665ae10d1984454e97f,https://update.code.visualstudio.com/latest/darwin-arm64/stable,2026-08-26T06:54:35Z
Visual Studio Code,macOS,arm64,VSCode-darwin-arm64.zip,Code,33451250,cd8bed045a00acd427dc07c02dfe2bc59523bfe5fd205fa0a2ce2d67b200f09d,556b9b43b2a207c129a10b25644f240053e818ef,https://update.code.visualstudio.com/latest/darwin-arm64/stable,2026-06-06T17:30:00Z
Visual Studio Code,Windows,x64,VSCodeUserSetup-x64-1.135.0.exe,Code.exe,,a981351f704671fe6f3305a6dfe21a9693bd28cb50548306f419d337a7f5f32f,,https://vscode.download.prss.microsoft.com/dbazure/download/stable/08d4889f9ec4a1685d257b9b95de036c8e1ce1e5/VSCodeUserSetup-x64-1.135.0.exe,2026-08-27T06:27:57Z
Visual Studio Code,Windows,x64,VSCodeUserSetup-x64-1.134.0.exe,Code.exe,,d564bc373ed3d94eedc813d5c0865e4ef40a40323e856bc838ae5a29723f2fb9,,https://vscode.download.prss.microsoft.com/dbazure/download/stable/110a328ea54b42367b803ec53ee0bf52ef26b419/VSCodeUserSetup-x64-1.134.0.exe,2026-08-26T06:54:35Z
Visual Studio Code,Windows,x64,VSCodeUserSetup-x64-1.132.0.exe,Code.exe,,9ac3e1278961fdddee3a1c186277ef9b4055f90c0f0083cb34a6420f58e8ad53,,https://vscode.download.prss.microsoft.com/dbazure/download/stable/df53daabb18cd157bdb08c7f01c34df936cf12f4/VSCodeUserSetup-x64-1.132.0.exe,2026-08-26T06:54:35Z
WhatsApp,macOS,universal,WhatsApp.dmg,WhatsApp,268330923,d44d72360d35926c64f2b7ba1efc870cef12226dc0f610cca60b700a95f6d438,32aaa7011c8553fb629a28d543fe0506020b2b07,https://web.whatsapp.com/desktop/mac_native/release/?configuration=Release,2026-08-29T06:26:03Z
WhatsApp,macOS,universal,WhatsApp.dmg,WhatsApp,267630692,0017e3565c44d5ec7b175080bc1a7ab1c839a3a3b3427af980aa734692007856,ed78cf5188ece700c55fa54ed140b9802b4906a1,https://web.whatsapp.com/desktop/mac_native/release/?configuration=Release,2026-08-28T06:20:05Z
WhatsApp,macOS,universal,WhatsApp.dmg,WhatsApp,266473918,7d4edbabecf506448118727bec979a75b69299bd16568d6373d726e2ee058e5e,da2255de8f3bed1d97fd0730ebd2eb59185ce627,https://web.whatsapp.com/desktop/mac_native/release/?configuration=Release,2026-08-26T07:38:32Z
Zoom,macOS,arm64,Zoom-arm64.pkg,zoom.us,35931426,d030f9714b017264247e8272162a6db43dbc38ecc5fad74e0e0592f1e5959527,bc94d9733cd17b1a1f5c9b007687324bb32c2c2e,https://zoom.us/client/latest/Zoom.pkg?archType=arm64,2026-08-26T06:54:35Z
Zoom,macOS,arm64,Zoom-arm64.pkg,zoom.us,22916728,0abc1e5693297827802d8ac3239dd974767828e3c8abbfc0c24bd6c148b96bdd,a5535fe746b7d39846cd581aa028c892f9c1ba78,https://zoom.us/client/latest/Zoom.pkg?archType=arm64,2026-06-06T17:30:00Z
Zoom,Windows,x64,ZoomInstallerFull.msi,Zoom.exe,,e0b18dc33c828a0606d6678f6d511ef66e133d900a512bed31798b4e7c24b093,,https://zoom.us/client/7.1.0.41345/ZoomInstallerFull.msi?archType=x64,2026-08-26T06:54:35Z
Zoom,Windows,x64,ZoomInstallerFull.msi,Zoom.exe,,5c45549aa924ee807215465aec6ca8f743520e2cd0b6ff8698b4a023e5b22204,,https://zoom.us/client/7.1.5.43453/ZoomInstallerFull.msi?archType=x64,2026-08-26T06:54:35Z
Zoom,Windows,x64,ZoomInstallerFull.msi,Zoom.exe,187394048,cb045d5943c546746b4236e8c3b6be4726e84e6e747c6251c90f666a66ead94d,ff7352ef52ee0f6d85fcf9410cf32921c0fedb9d,https://zoom.us/client/latest/ZoomInstallerFull.msi?archType=x64,2026-06-06T19:25:00Z
